## Downloaded 2022-01-11 from https://en.wikipedia.org/wiki/Glossary_of_chemical_formulae and https://en.wikipedia.org/wiki/List_of_CAS_numbers_by_chemical_compound
ascii                              | name                                         | CAS
AgF2                               | silver difluoride                            | 7783-95-1
AgF2                               | silver(II) fluoride                          | 7783-95-1
AgI                                | silver iodide                                | 7783-96-2
AgI                                | silver iodide                                | 7783-96-2
AgIO                               | silver hypoiodite                            | 
AgIO2                              | silver iodite                                | 
AgIO3                              | silver iodate                                | 7783-97-3
AgIO3                              | silver iodate                                | 7783-97-3
AgIO4                              | silver periodate                             | 
AgMnO4                             | silver permanganate                          | 7783-98-4
AgMnO4                             | silver permanganate                          | 7783-98-4
AgN3                               | silver azide                                 | 13863-88-2
AgN3                               | silver azide                                 | 13863-88-2
AgNO3                              | silver nitrate                               | 7761-88-8
AgNO3                              | silver nitrate                               | 7761-88-8
AgO                                | silver(I,III) oxide                          | 1301-96-8
AgO                                | silver monoxide                              | 1301-96-8
AgONC                              | silver fulminate                             | 5610-59-3
AgONC                              | silver cyanate                               | 3315-16-0
AgPF6                              | silver hexafluorophosphate                   | 26042-63-7
AgReO4                             | silver perrhenate                            | 7784-00-1
AgSNC                              | silver thiocyanate                           | 1701-93-5
AgSNC                              | silver thiocyanate                           | 1701-93-5
Al                                 | aluminium                                    | 7429-90-5
Al(CHO2)3                          | aluminium formate                            | 7360-53-4
Al(NO2)3                           | aluminium nitrite                            | 
Al(NO3)3                           | aluminium nitrate                            | 13473-90-0
Al(NO3)3                           | aluminium nitrate                            | 13473-90-0
Al(OH)3                            | aluminium hydroxide                          | 21645-51-2
Al(OH)3                            | aluminium hydroxide                          | 21645-51-2
Al2(CO3)3                          | aluminium carbonate                          | 14455-29-9
Al2(SO4)3                          | aluminium sulfate                            | 10043-01-3
Al2(SO4)3                          | aluminium sulphate                           | 14455-29-9
Al2BeO4                            | beryllium aluminium oxide                    | 12004-06-7
Al2Br6                             | dialuminium hexabromide                      | 18898-34-5
Al2Cl9K3                           | potassium aluminium chloride                 | 74978-20-4
Al2CoO4                            | cobalt blue                                  | 1333-88-6
Al2F6                              | aluminium fluoride                           | 17949-86-9
Al2I6                              | aluminium iodide                             | 18898-35-6
Al2MgO4                            | magnesium aluminium oxide                    | 12068-51-8
Al2O                               | dialuminium monoxide                         | 12004-36-3
Al2O2                              | dialuminium dioxide                          | 12252-63-0
Al2O3                              | aluminium oxide                              | 1344-28-1
Al2O3                              | aluminium oxide                              | 1344-28-1
Al2O5Si                            | aluminium silicate                           | 12141-46-7
Al2O5Si                            | aluminium silicate                           | 1302-76-7
Al2O5Si                            | andalusite                                   | 12183-80-1
Al2O7Si2                           | aluminium silicate                           | 1332-58-7
Al2S                               | dialuminium monosulfide                      | 12004-45-4
Al2S3                              | aluminium sulfide                            | 1302-81-4
Al2S3                              | aluminium sulfide                            | 1302-81-4
Al2Se                              | dialuminium selenide                         | 12598-14-0
Al2Se3                             | aluminium selenide                           | 1302-82-5
Al2Si2O5(OH)4                      | kaolin                                       | 1332-58-7
Al2Te                              | dialuminium telluride                        | 12598-16-2
Al3F14Na5                          | chiolite                                     | 1302-84-7
Al4C3                              | aluminum carbide                             | 1299-86-1
Al4C3                              | aluminium carbide                            | 1299-86-1
Al6BeO10                           | beryllium aluminium oxide                    | 12253-74-6
Al6O13Si2                          | aluminum silicate                            | 1302-93-8
Al6O13Si2                          | mullite                                      | 1302-93-8
AlAs                               | aluminium arsenide                           | 22831-42-1
AlB12                              | aluminium dodecaboride                       | 12041-54-2
AlB2                               | aluminium diboride                           | 12041-50-8
AlBO                               | aluminium boron oxide                        | 12041-48-4
AlBO3                              | aluminium borate                             | 61279-70-7
AlBr                               | aluminium monobromide                        | 22359-97-3
AlBr3                              | aluminium bromide                            | 7727-15-3
AlBr3                              | aluminium tribromide                         | 7727-15-3
AlBr3.6H2O                         | aluminium bromide hexahydrate                | 7784-11-4
AlCl                               | aluminium monochloride                       | 13595-81-8
AlCl2<F                            | aluminium chloride fluoride                  | 22395-91-1
AlCl2F                             | aluminium chloride fluoride                  | 13497-96-6
AlCl2H                             | dichloroalumane                              | 16603-84-2
AlCl3                              | aluminium chloride                           | 7446-70-0
AlCl3                              | aluminium chloride                           | 16603-84-2
AlCl3                              | aluminium trichloride                        | 7446-70-0
AlCl3.6H2O                         | aluminium chloride hexahydrate               | 7784-13-6
AlCl4Cs                            | aluminium caesium tetrachloride              | 17992-03-9
AlCl4K                             | potassium tetrachloroaluminate               | 13821-13-1
AlCl4Na                            | sodium tetrachloroaluminate                  | 7784-16-9
AlCl4Rb                            | aluminium rubidium tetrachloride             | 17992-02-8
AlCl6K3                            | potassium hexachloroaluminate                | 13782-08-6
AlCl6Na3                           | sodium hexachloroaluminate                   | 60172-46-5
AlClF                              | aluminium chloride fluoride                  | 22395-91-1
AlClO                              | aluminium chloride oxide                     | 13596-11-7
AlF                                | aluminium monofluoride                       | 13595-82-9
AlF2                               | aluminium difluoride                         | 13569-23-8
AlF2O                              | aluminium difluoride oxide                   | 38344-66-0
AlF3                               | aluminium fluoride                           | 7784-18-1
AlF3                               | aluminium trifluoride                        | 7784-18-1
AlF4K                              | potassium tetrafluoroaluminate               | 14484-69-6
AlF4Li                             | lithium tetrafluoroaluminate                 | 15138-76-8
AlF6K3                             | potassium hexafluoraluminate                 | 13775-52-5
AlF6Li3                            | lithium hexafluoroaluminate                  | 13821-20-0
AlF6Na3                            | cryolite                                     | 15096-52-3
AlFO                               | aluminium monofluoride monoxide              | 13596-12-8
AlGaInP                            | aluminium-gallium-indium phosphide           | 
AlI                                | aluminium monoiodide                         | 29977-41-1
AlI3                               | aluminium iodide                             | 7784-23-8
AlI3                               | aluminium triiodide                          | 7784-23-8
AlLiO2                             | lithium aluminate                            | 12003-67-7
AlN                                | aluminium nitride                            | 24304-00-5
AlN                                | aluminium nitride                            | 24304-00-5
AlNaO2                             | sodium aluminate                             | 1302-42-7
AlO                                | aluminium monoxide                           | 14457-64-8
AlO2                               | aluminium(IV) oxide                          | 11092-32-3
AlOSi                              | aluminium silicon monoxide                   | 37361-47-0
AlP                                | aluminium phosphide                          | 20859-73-8
AlP                                | aluminium monophosphide                      | 20859-73-8
AlPO4                              | aluminium phosphate                          | 7784-30-7
AlPO4                              | aluminium phosphate                          | 7784-30-7
AlSb                               | aluminium antimonide                         | 25152-52-7
AlTe                               | aluminium monotelluride                      | 23330-86-1
AlTe2                              | monoaluminium ditelluride                    | 39297-18-2
AmCl3                              | americium(III) chloride                      | 13464-46-5
AmO2                               | americium dioxide                            | 12005-67-3
ArClF                              | argon chloride fluoride                      | 53169-15-6
ArClH                              | argon chloride hydride                       | 163731-17-7
ArFH                               | argon fluoride hydride                       | 163731-16-6
ArPF6                              | silver hexafluorophosphate                   | 26042-63-7
As                                 | arsenic                                      | 7440-38-2
As2H4                              | diarsenic tetrahydride                       | 15942-63-9
As2I4                              | arsenic diiodide                             | 13770-56-4
As2I4                              | arsenic diiodide                             | 13770-56-4
As2Mg3                             | magnesium arsenide                           | 12044-49-4
As2O3                              | arsenic trioxide                             | 1327-53-3
As2O3                              | arsenic trioxide                             | 1327-53-3
As2O5                              | arsenic pentoxide                            | 1303-28-2
As2O5                              | arsenic pentoxide                            | 1303-28-2
As2P2                              | arsenic diphosphide                          | 12512-03-7
As2P2                              | arsenic diphosphide                          | 12512-03-7
As2S3                              | arsenic trisulfide                           | 1303-33-9
As2S4                              | arsenic tetrasulfide                         | 1303-32-8
As2S4                              | arsenic tetrasulfide                         | 1303-32-8
As2S5                              | arsenic pentasulfide                         | 1303-34-0
As2S5                              | arsenic pentasulfide                         | 1303-34-0
As2Se                              | arsenic hemiselenide                         | 1303-35-1
As2Se                              | arsenic hemiselenide                         | 1303-35-1
As2Se3                             | arsenic triselenide                          | 1303-36-2
As2Se3                             | arsenic triselenide                          | 1303-36-2
As2Se5                             | arsenic pentaselenide                        | 1303-37-3
As2Se5                             | arsenic pentaselenide                        | 1303-37-3
As2Te3                             | arsenic tritelluride                         | 12044-54-1
As3O4                              | arsenic tetraoxide                           | 83527-53-1
As3O4                              | arsenic tetraoxide                           | 83527-53-1
As3P                               | arsenic triphosphide                         | 12512-11-7
As3P                               | arsenic(III) phosphide                       | 12512-11-7
As4O3                              | tetraarsenic trioxide                        | 83527-54-2
As4O5                              | tetraarsenic pentaoxide                      | 83527-55-3
As4S3                              | tetraarsenic trisulfide                      | 12512-13-9
As4S4                              | tetraarsenic tetrasulfide                    | 12279-90-2
As4S4                              | tetraarsenic tetrasulfide                    | 12279-90-2
AsBr3                              | arsenic tribromide                           | 7784-33-0
AsBr3                              | arsenic tribromide                           | 7784-33-0
AsBrO                              | arsenic oxybromide                           | 82868-10-8
AsBrO                              | arsenic oxybromide                           | 82868-10-8
AsCl3                              | arsenic trichloride                          | 7784-34-1
AsCl3                              | arsenic trichloride                          | 7784-34-1
AsCl3O                             | arsenic oxychloride                          | 60646-36-8
AsCl3O                             | arsenic oxychloride                          | 60646-36-8
AsCl4F                             | arsenic tetrachloride fluoride               | 87198-15-0
AsCl5                              | arsenic pentachloride                        | 22441-45-8
AsClO                              | arsenic monoxide monochloride                | 14525-25-8
AsF3                               | arsenic trifluoride                          | 7784-35-2
AsF3                               | arsenic trifluoride                          | 7784-35-2
AsF5                               | arsenic pentafluoride                        | 7784-36-3
AsF5                               | arsenic pentafluoride                        | 7784-36-3
AsH3                               | arsenic trihydride                           | 7784-42-1
AsH3                               | arsine                                       | 7784-42-1
AsI3                               | arsenic triiodide                            | 7784-45-4
AsI3                               | arsenic triiodide                            | 7784-45-4
AsO                                | arsenic monoxide                             | 12005-99-1
AsO                                | arsenic monoxide                             | 12005-99-1
AsO2                               | arsenic dioxide                              | 12255-12-8
AsO2                               | arsenic dioxide                              | 12255-12-8
AsP                                | arsenic monophosphide                        | 12255-33-3
AsP                                | arsenic monophosphide                        | 12255-33-3
AsP3                               | arsenic phosphide                            | 12511-95-4
AsP3                               | arsenic triphosphide                         | 12511-95-4
AsSe4                              | arsenic tetraselenide                        | 12006-06-3
AsTl                               | thallium arsenide                            | 12006-09-6
Au                                 | gold                                         | 7440-57-5
Au(OH)3                            | gold(III) hydroxide                          | 1303-52-2
Au(OH)3                            | gold hydroxide                               | 1303-52-2
Au2(SeO4)3                         | gold(III) selenate                           | 10294-32-3
Au2(SeO4)3                         | gold triselenate                             | 10294-32-3
Au2O3                              | gold(III) oxide                              | 1303-58-8
Au2O3                              | gold trioxide                                | 1303-58-8
Au2S                               | gold(I) sulfide                              | 1303-60-2
Au2S                               | gold sulfide                                 | 1303-60-2
Au2S3                              | gold(III) sulfide                            | 1303-61-3
Au2S3                              | gold trisulfide                              | 1303-61-3
Au2Se3                             | gold(III) selenide                           | 1303-62-4
Au2Se3                             | gold triselenide                             | 1303-62-4
Au4Cl8                             | gold(I,III) chloride                         | 62792-24-9
Au4F8                              | gold(I,III) fluoride                         | 
AuBO                               | gold monoboride monoxide                     | 12588-90-8
AuBr                               | gold(I) bromide                              | 10294-27-6
AuBr                               | gold bromide                                 | 10294-27-6
AuBr3                              | gold(III) bromide                            | 10294-28-7
AuBr3                              | gold tribromide                              | 10294-28-7
AuCN                               | gold(I) cyanide                              | 506-65-0
AuCN                               | gold cyanide                                 | 506-65-0
AuCl                               | gold(I) chloride                             | 10294-29-8
AuCl                               | gold chloride                                | 10294-29-8
AuCl3                              | gold(III) chloride                           | 13453-07-1
AuCl3                              | gold trichloride                             | 13453-07-1
AuF3                               | gold(III) fluoride                           | 14720-21-9
AuF3                               | gold trifluoride                             | 14720-21-9
AuF5                               | gold(V) fluoride                             | 57542-85-5
AuI                                | gold(I) iodide                               | 10294-31-2
AuI                                | gold iodide                                  | 10294-31-2
AuI3                               | gold(III) iodide                             | 31032-13-0
AuI3                               | gold(III) iodide                             | 31032-13-0
AuSe                               | gold(II) selenide                            | 23331-11-5
AuTe                               | gold(II) telluride                           | 37043-71-3
AuTe                               | gold telluride                               | 37043-71-3
B(NO3)3                            | boron nitrate                                | 
B(OH)3                             | boric acid                                   | 10043-35-3
B2Cl4                              | diboron tetrachloride                        | 13701-67-2
B2Cl4                              | boron chloride                               | 13701-67-2
B2F4                               | diboron tetrafluoride                        | 13965-73-6
B2F4                               | Diboron tetrafluoride                        | 13965-73-6
B2H6                               | diboron hexahydride                          | 19287-45-7
B2H6                               | boron hydride                                | 19287-45-7
B2O3                               | diboron trioxide                             | 1303-86-2
B2O3                               | boron(III) oxide                             | 1303-86-2
B2S3                               | diboron trisulfide                           | 12007-33-9
B2S3                               | boron sulfide                                | 12007-33-9
B2Se3                              | boron selenide                               | 287-91-2
B3N3H6                             | borazine                                     | 6569-51-3
B4C                                | boron carbide                                | 12069-32-8
B4C                                | boron carbide                                | 12069-32-8
B4H10                              | boron decahydride                            | 18283-93-7
BAs                                | boron arsenide                               | 12005-69-5
BAs                                | boron arsenide                               | 12005-69-5
BAsO4                              | boron arsenate                               | 13510-31-1
BAsO4                              | boron(III) arsenate                          | 
BBr3                               | boron tribromide                             | 10294-33-4
BBr3                               | boron tribromide                             | 10294-33-4
BCl3                               | boron trichloride                            | 10294-34-5
BCl3                               | boron trichloride                            | 10294-34-5
BF3                                | boron trifluoride                            | 7637-07-2
BF3                                | boron trifluoride                            | 7637-07-2
BI3                                | boron triiodide                              | 13517-10-7
BI3                                | boron iodide                                 | 13517-10-7
BN                                 | boron nitride                                | 10043-11-5
BN                                 | boron nitride                                | 10043-11-5
BP                                 | boron phosphide                              | 20205-91-8
BP                                 | boron(III) phosphide                         | 20205-91-8
BPO4                               | boron phosphate                              | 13308-51-5
BPO4                               | boron(III) orthophosphate                    | 13308-51-5
Ba(AlO2)2                          | barium aluminate                             | 12004-04-5
Ba(AsO3)2                          | barium arsenite                              | 125687-68-5
Ba(AsO3)2                          | barium arsenite                              | 125687-68-5
Ba(AsO4)2                          | barium arsenate                              | 56997-31-0
Ba(AsO4)2                          | barium arsenate                              | 56997-31-0
Ba(BrO)2                           | barium hypobromite                           | 
Ba(BrO2)2                          | barium bromite                               | 
Ba(BrO3)2                          | barium bromate                               | 13967-90-3
Ba(BrO3)2·2H2O                     | barium bromate dihydrate                     | 
Ba(BrO3)2·H2O                      | barium bromate monohydrate                   | 10326-26-8
Ba(BrO4)2                          | barium perbromate                            | 
Ba(C18H35O2)2                      | barium stearate                              | 6865-35-6
Ba(C2H3O2)2                        | barium acetate                               | 543-80-6
Ba(C2H3O2)2                        | barium acetate                               | 543-81-7
Ba(CHO2)2                          | barium formate                               | 541-43-5
Ba(CHO2)2                          | barium formate                               | 541-43-5
Ba(CN)2                            | barium cyanide                               | 542-62-1
Ba(CN)2                            | barium cyanide                               | 542-62-1
Ba(ClO3)2                          | barium chlorate                              | 13477-00-4
Ba(ClO4)2                          | barium perchlorate                           | 13465-95-7
Ba(HS)2                            | barium hydrosulfide                          | 25417-81-6
Ba(HS)2                            | barium hydrosulfide                          | 
Ba(IO)2                            | barium hypoiodite                            | 
Ba(IO2)2                           | barium iodite                                | 
Ba(IO3)2                           | barium iodate                                | 10567-69-8
Ba(IO4)2                           | barium periodate                             | 13718-58-6
Ba(MnO4)2                          | barium permanganate                          | 7787-36-2
Ba(MnO4)2                          | barium permanganate                          | 7787-36-2
Ba(NO2)2                           | barium nitrite                               | 13465-94-6
Ba(NO2)2                           | barium nitrite                               | 13465-94-6
Ba(NO3)2                           | barium nitrate                               | 10022-31-8
Ba(NO3)2                           | barium nitrate                               | 10022-31-8
Ba(NbO3)2                          | barium niobate                               | 12009-14-2
Ba(NbO3)2                          | barium niobate                               | 12009-14-2
Ba(OH)2                            | barium hydroxide                             | 17194-00-2
Ba(OH)2                            | barium hydroxide                             | 17194-00-2
Ba(OH)2                            | baryta                                       | 17194-00-2
Ba(PO3)2                           | barium metaphosphate                         | 13466-20-1
Ba(PO3)2                           | barium metaphosphate                         | 13466-20-1
Ba(ReO4)2                          | barium perrhenate                            | 13768-52-0
Ba(SCN)2                           | barium thiocyanate                           | 2092-17-3
Ba(SCN)2                           | barium thiocyanate                           | 2092-17-3
Ba(SeCN)2                          | barium selenocyanate                         | 
Ba(VO3)2                           | barium vanadate                              | 22652-39-7
Ba2Na(NbO3)5                       | barium sodium niobate                        | 12323-03-4
Ba2P2O7                            | barium pyrophosphate                         | 13466-21-2
Ba2P2O7                            | barium pyrophosphate                         | 13466-21-2
Ba2V2O7                            | barium pyrovanadate                          | 
Ba2XeO6                            | barium perxenate                             | 
Ba3(CrO4)2                         | barium dichromate                            | 12345-14-1
Ba3(CrO4)2                         | barium chromate(V)                           | 12345-14-1
Ba3(PO4)2                          | barium orthophosphate                        | 13517-08-3
Ba3(VO4)2                          | barium orthovanadate                         | 39416-30-3
Ba3(VO4)2                          | barium orthovandate                          | 39416-30-3
Ba3N2                              | barium nitride                               | 12047-79-9
Ba3N2                              | barium nitride                               | 12047-79-9
BaAl2O4                            | barium aluminate                             | 12004-04-5
BaB6                               | barium boride                                | 12046-08-1
BaB6                               | barium hexaboride                            | 12046-08-1
BaBr2                              | barium bromide                               | 10553-31-8
BaBr2                              | barium bromide                               | 10553-31-8
BaBr2.2H2O                         | barium bromide dihydrate                     | 7791-28-8
BaC2                               | barium carbide                               | 50813-65-5
BaC2O4                             | barium oxalate                               | 516-02-9
BaC4H4O6                           | barium tartrate                              | 5908-81-6
BaCO3                              | barium carbonate                             | 513-77-9
BaCl2                              | barium chloride                              | 10361-37-2
BaCl2.2H2O                         | barium chloride dihydrate                    | 10326-27-9
BaCrO4                             | barium chromate                              | 10294-40-3
BaF2                               | barium fluoride                              | 7787-32-8
BaH2                               | barium hydride                               | 13477-09-3
BaHfO3                             | barium hafnate                               | 151640-29-8
BaHgI4                             | barium tetraiodomercurate                    | 10048-99-4
BaHgI4                             | barium tetraiodomercurate(II)                | 10048-99-4
BaI2                               | barium iodide                                | 13718-50-8
BaI2                               | barium iodide                                | 13718-50-8
BaI2.2H2O                          | barium iodide dihydrate                      | 7787-33-9
BaK2(CrO4)2                        | barium potassium chromate                    | 27133-66-0
BaMnO4                             | barium manganate                             | 7787-35-1
BaMnO4                             | barium manganate                             | 7787-35-1
BaMoO4                             | barium molybdate                             | 7787-37-3
BaMoO4                             | barium molybdate                             | 7787-37-3
BaN6                               | barium azide                                 | 18810-58-7
BaN6                               | barium azide                                 | 18810-58-7
BaNb2O6                            | barium metaniobate                           | 12009-14-2
BaO                                | barium oxide                                 | 1304-28-5
BaO                                | barium oxide                                 | 1304-28-5
BaO2                               | barium peroxide                              | 1304-29-6
BaO2                               | barium peroxide                              | 1304-29-6
BaS                                | barium sulfide                               | 21109-95-5
BaS                                | barium sulfide                               | 21109-95-5
BaS2O3                             | barium thiosulfate                           | 35112-53-9
BaS2O3                             | barium thiosulfate                           | 35112-53-9
BaSO3                              | barium sulfite                               | 7787-39-5
BaSO3                              | barium sulfite                               | 7787-39-5
BaSO4                              | barium sulfate                               | 7727-43-7
BaSO4                              | barium sulfate                               | 7787-43-7
BaSO4                              | barite                                       | 7787-43-7
BaSe                               | barium selenide                              | 1304-39-8
BaSe                               | barium selenide                              | 1304-39-8
BaSeO3                             | barium selenite                              | 13718-59-7
BaSeO3                             | barium selenite                              | 13718-59-7
BaSeO4                             | barium selenate                              | 7787-41-9
BaSeO4                             | barium selenate                              | 7787-41-9
BaSi2                              | barium silicide                              | 1304-40-1
BaSi2                              | barium silicide                              | 1304-40-1
BaSi2O5                            | barium disilicate                            | 12650-28-1
BaSi2O5                            | barium disilicate                            | 12650-28-1
BaSiF6                             | barium hexafluorosilicate                    | 17125-80-3
BaSiF6                             | barium hexafluorosilicate                    | 17125-80-3
BaSiO3                             | barium metasilicate                          | 13255-26-0
BaSiO3                             | barium metasilicate                          | 13255-26-0
BaSnO3                             | barium stannate                              | 12009-18-6
BaSnO3                             | barium stannate                              | 12009-18-6
BaTeO3                             | barium tellurite                             | 58440-17-8
BaTeO4·3H2O                        | barium tellurate trihydrate                  | 28557-54-2
BaTiO3                             | barium titanate                              | 12047-27-7
